"COUNTRY","Country","BIRTH","Place of birth","HATLEV1D","Educational attainment","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,62.2,,
"FIN","Finland","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,69,,
"FIN","Finland","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,66,,
"FIN","Finland","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,73,,
"FIN","Finland","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,65.6,,
"FIN","Finland","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,70.8,,
"FIN","Finland","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,71.1,,
"FIN","Finland","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,78.2,,
"FIN","Finland","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,76.1,,
"FRA","France","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,58.9,,
"FRA","France","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,59.6,,
"FRA","France","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,61.5,,
"FRA","France","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,62.5,,
"FRA","France","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,61.9,,
"FRA","France","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,47.6,,
"FRA","France","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,47.9,,
"FRA","France","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,51.7,,
"FRA","France","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,51.9,,
"FRA","France","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,52.1,,
"FRA","France","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,60.2,,
"FRA","France","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,62.5,,
"FRA","France","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,64.2,,
"FRA","France","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,64.8,,
"FRA","France","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,61.4,,
"FRA","France","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,73.2,,
"FRA","France","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,71.4,,
"FRA","France","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,71.4,,
